Date,PA,LINK,PETRO,CN,CITIC
22/11/2016,66.89975,11.224895,49.287247,5.243338,9.338473
23/11/2016,67.037224,11.262435,49.334595,5.233628,9.265516
24/11/2016,66.808113,11.262435,49.666019,5.194788,9.210799
25/11/2016,66.853935,11.318748,49.429291,5.204498,9.15608
28/11/2016,66.991394,11.450143,49.8554,5.194788,9.119602
29/11/2016,67.037224,11.356291,50.092133,5.185079,9.037526
30/11/2016,67.816193,11.206123,50.565594,5.117109,8.918971
1/12/2016,66.89975,11.243665,49.99744,5.359856,9.466147
2/12/2016,65.708389,11.055957,49.8554,5.330727,9.429669
5/12/2016,65.983322,10.980874,49.8554,5.311306,9.247277
6/12/2016,66.624817,11.074729,50.044785,5.359856,9.283755
7/12/2016,66.304077,11.168582,50.897015,5.350146,9.301995
8/12/2016,66.487366,11.299977,51.039055,5.350146,9.374951
9/12/2016,66.120789,11.131042,51.323132,5.282177,9.356712
12/12/2016,65.754204,10.868251,50.754974,5.311306,9.320234
13/12/2016,65.708389,10.868251,49.8554,5.592894,9.466147
14/12/2016,64.92942,10.830709,49.713364,5.84535,9.466147
15/12/2016,64.058807,10.718085,47.724827,5.738542,9.137841
16/12/2016,63.234016,10.811938,47.535442,5.709413,9.19256
19/12/2016,62.638332,10.511607,47.488098,5.748251,9.119602
20/12/2016,63.050728,10.417753,47.488098,5.689993,9.046646
21/12/2016,62.959084,10.361442,47.346062,5.777381,9.028405
22/12/2016,62.638332,10.230046,46.872597,5.651153,8.836894
23/12/2016,62.455051,10.230046,46.588524,5.641443,8.72746
28/12/2016,62.3634,10.267587,46.399139,5.670573,8.846014
29/12/2016,62.271755,10.34267,47.156673,5.612314,8.773057
30/12/2016,62.638332,10.417753,47.724827,5.612314,8.846014
3/1/2017,63.188183,10.380212,48.198288,5.631733,8.928091
4/1/2017,62.959084,10.455295,48.340328,5.563764,8.937211
5/1/2017,62.775803,10.661774,49.713364,5.796801,9.083124
6/1/2017,63.234016,10.62423,50.139477,5.86477,9.074004
9/1/2017,64.150444,10.755627,49.808052,6.000709,8.991928
10/1/2017,65.112709,10.680543,50.470898,6.000709,8.873373
11/1/2017,65.158524,10.774396,50.376205,5.990999,8.973689
12/1/2017,64.196281,10.774396,49.666019,5.942449,8.873373
13/1/2017,64.654488,10.811938,49.571323,6.097808,9.083124
16/1/2017,66.441536,10.567919,49.287247,5.990999,8.964569
17/1/2017,66.716469,10.62423,49.429291,6.058968,8.991928
18/1/2017,66.94558,10.774396,49.523975,6.136647,9.15608
19/1/2017,66.120789,10.755627,49.145214,6.058968,9.119602
20/1/2017,65.800034,10.62423,49.050518,5.952159,8.937211
23/1/2017,65.845856,10.680543,49.145214,5.90361,8.873373
24/1/2017,65.433456,10.736855,49.381943,6.000709,8.846014
25/1/2017,66.166603,10.680543,49.287247,6.068678,8.827775
26/1/2017,66.441536,10.793168,50.186825,6.117228,9.028405
27/1/2017,68.320236,10.830709,50.328865,6.039547,8.973689
1/2/2017,69.37413,10.699313,50.328865,5.952159,8.891613
2/2/2017,68.549347,10.605461,50.092133,5.91332,8.818655
3/2/2017,68.915909,10.62423,50.092133,5.86477,8.882493
6/2/2017,68.961731,10.661774,50.281513,5.8939,8.846014
7/2/2017,69.465782,10.680543,50.328865,5.874481,8.800416
8/2/2017,70.061455,10.924563,51.370476,5.86477,8.690981
9/2/2017,69.236664,10.868251,50.991707,5.825931,8.700102
10/2/2017,70.107277,11.037188,51.181095,5.942449,8.782177
13/2/2017,70.38221,11.131042,50.612938,5.990999,8.836894
14/2/2017,64.74614,10.943334,50.470898,5.961869,8.700102
15/2/2017,64.517029,11.168582,50.186825,5.923029,8.690981
16/2/2017,64.058807,11.187353,50.234169,5.855061,8.681862
17/2/2017,63.967171,10.811938,50.234169,5.86477,8.599786
20/2/2017,63.325653,10.811938,50.092133,5.93274,8.645382
21/2/2017,63.783875,10.774396,50.518246,5.961869,8.627145
22/2/2017,64.150444,10.774396,50.660282,6.029839,8.636264
23/2/2017,63.738056,10.755627,50.423553,5.93274,8.599786
24/2/2017,63.921345,10.661774,51.133747,5.93274,8.554187
27/2/2017,64.012978,10.511607,51.370476,5.84535,8.435632
28/2/2017,63.829693,10.455295,50.707626,5.738542,8.371796
1/3/2017,63.875519,10.474065,50.754974,5.660863,8.28972
2/3/2017,63.371479,10.417753,50.186825,5.689993,8.362675
3/3/2017,63.234016,10.323899,49.571323,5.680283,8.335317
6/3/2017,63.004902,10.398982,49.523975,5.709413,8.307958
7/3/2017,62.729969,10.398982,49.192554,5.748251,8.298839
8/3/2017,62.775803,10.380212,49.381943,5.719122,8.253241
9/3/2017,62.042641,10.305129,48.624401,5.592894,8.107327
10/3/2017,62.042641,10.267587,48.577061,5.515214,8.052608
13/3/2017,61.951008,10.417753,48.435024,5.534635,8.134686
14/3/2017,61.90519,10.361442,48.529713,5.524924,8.125566
15/3/2017,61.767719,10.323899,48.24564,5.495795,8.03437
16/3/2017,62.225937,10.699313,49.618671,5.670573,8.326198
17/3/2017,62.50087,10.567919,49.571323,5.689993,8.326198
20/3/2017,62.546688,10.643003,49.99744,5.699702,8.2806
21/3/2017,62.409218,10.811938,49.902748,5.728833,8.28972
22/3/2017,61.401138,10.58669,50.044785,5.622023,8.143805
23/3/2017,61.355328,10.549148,50.186825,5.622023,8.107327
24/3/2017,61.584431,10.398982,50.139477,5.612314,8.426512
27/3/2017,61.401138,10.305129,50.328865,5.583184,8.426512
28/3/2017,61.584431,10.417753,51.039055,5.602603,8.49035
29/3/2017,61.538616,10.398982,51.228436,5.583184,8.517708
30/3/2017,61.309505,10.417753,51.370476,5.592894,8.517708
31/3/2017,61.401138,10.398982,51.55986,5.524924,8.46299
3/4/2017,61.172035,10.474065,52.080669,5.515214,8.481231
5/4/2017,62.50087,10.398982,53.122276,5.534635,8.590666
6/4/2017,63.096554,10.380212,52.743511,5.486085,8.572427
7/4/2017,63.004902,10.380212,53.122276,5.612314,8.700102
10/4/2017,63.050728,10.34267,52.364742,5.602603,8.654503
11/4/2017,62.638332,10.248816,52.648819,5.515214,8.563307
12/4/2017,62.959084,10.361442,53.501049,5.515214,8.618024
13/4/2017,62.775803,10.323899,52.838203,5.524924,8.599786
18/4/2017,62.317581,10.136193,52.080669,5.466665,8.426512
19/4/2017,62.225937,10.06111,52.554127,5.398696,8.326198
20/4/2017,62.50087,10.173734,53.027584,5.398696,8.28972
21/4/2017,61.859367,10.248816,52.885548,5.359856,8.253241
24/4/2017,63.783875,10.361442,52.932896,5.350146,8.262362
25/4/2017,63.554768,10.436523,53.264317,5.369566,8.2806
26/4/2017,63.646412,10.58669,53.359005,5.359856,8.27148
27/4/2017,63.783875,10.511607,52.98024,5.330727,8.244121
28/4/2017,64.150444,10.58669,52.98024,5.321017,8.27148
2/5/2017,64.196281,10.549148,52.885548,5.291888,8.180283
4/5/2017,64.74614,10.58669,53.122276,5.214208,8.134686
5/5/2017,64.975235,10.436523,52.743511,5.087979,8.043489
8/5/2017,65.250168,10.380212,53.311661,5.09769,8.052608
9/5/2017,65.754204,10.567919,53.595737,5.165658,8.125566
10/5/2017,65.57093,10.661774,53.216972,5.136529,8.116446
11/5/2017,65.433456,10.755627,54.305931,5.155948,8.216762
12/5/2017,65.204353,10.774396,55.016117,5.155948,8.262362
15/5/2017,65.459023,10.811938,55.016117,5.165658,8.390035
16/5/2017,65.553337,11.243665,55.110813,5.185079,8.417394
